Serial Number:20467368 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-09-21 09:26:07,64.20,131, , , , 
2019-09-21 09:27:43, , ,Logged, , , 
2019-09-21 09:28:36, , ,Logged, , , 
2019-09-21 10:26:07,68.98,593, , , , 
2019-09-21 11:26:07,70.22,98, , , , 
2019-09-21 12:26:07,72.54,84, , , , 
2019-09-21 13:26:07,73.39,120, , , , 
2019-09-21 14:26:07,69.22,80, , , , 
2019-09-21 15:26:07,71.15,78, , , , 
2019-09-21 16:26:07,67.52,43, , , , 
2019-09-21 17:26:07,67.28,27, , , , 
2019-09-21 18:26:07,65.12,4, , , , 
2019-09-21 19:26:07,63.19,0, , , , 
2019-09-21 20:26:07,62.81,0, , , , 
2019-09-21 21:26:07,57.40,0, , , , 
2019-09-21 22:26:07,54.16,0, , , , 
2019-09-21 23:26:07,51.22,0, , , , 
2019-09-22 00:26:07,47.59,0, , , , 
2019-09-22 01:26:07,45.43,0, , , , 
2019-09-22 02:26:07,43.58,0, , , , 
2019-09-22 03:26:07,42.57,0, , , , 
2019-09-22 04:26:07,42.65,0, , , , 
2019-09-22 05:26:07,41.42,0, , , , 
2019-09-22 06:26:07,38.40,0, , , , 
2019-09-22 07:26:07,39.02,38, , , , 
2019-09-22 08:26:07,49.06,115, , , , 
2019-09-22 09:26:07,55.55,139, , , , 
2019-09-22 10:26:07,59.64,321, , , , 
2019-09-22 11:26:07,63.42,98, , , , 
2019-09-22 12:26:07,66.44,79, , , , 
2019-09-22 13:26:07,68.83,86, , , , 
2019-09-22 14:26:07,72.54,480, , , , 
2019-09-22 15:26:07,73.69,348, , , , 
2019-09-22 16:26:07,74.00,140, , , , 
2019-09-22 17:26:07,74.85,132, , , , 
2019-09-22 18:26:07,66.74,15, , , , 
2019-09-22 19:26:07,59.25,0, , , , 
2019-09-22 20:26:07,54.39,0, , , , 
2019-09-22 21:26:07,50.84,0, , , , 
2019-09-22 22:26:07,48.83,0, , , , 
2019-09-22 23:26:07,47.05,0, , , , 
2019-09-23 00:26:07,46.44,0, , , , 
2019-09-23 01:26:07,46.51,0, , , , 
2019-09-23 02:26:07,44.50,0, , , , 
2019-09-23 03:26:07,43.04,0, , , , 
2019-09-23 04:26:07,41.42,0, , , , 
2019-09-23 05:26:07,41.96,0, , , , 
2019-09-23 06:26:07,40.41,0, , , , 
2019-09-23 07:26:07,40.72,28, , , , 
2019-09-23 08:26:07,52.54,116, , , , 
2019-09-23 09:26:07,54.85,92, , , , 
2019-09-23 10:26:07,63.50,215, , , , 
2019-09-23 11:26:07,66.05,125, , , , 
2019-09-23 12:26:07,69.37,104, , , , 
2019-09-23 13:26:07,73.31,124, , , , 
2019-09-23 14:26:07,74.70,264, , , , 
2019-09-23 15:26:07,72.23,111, , , , 
2019-09-23 16:26:07,70.91,78, , , , 
2019-09-23 17:26:07,68.67,42, , , , 
2019-09-23 18:26:07,65.59,14, , , , 
2019-09-23 19:26:07,61.18,0, , , , 
2019-09-23 20:26:07,57.79,0, , , , 
2019-09-23 21:26:07,55.86,0, , , , 
2019-09-23 22:26:07,53.23,0, , , , 
2019-09-23 23:26:07,50.84,0, , , , 
2019-09-24 00:26:07,49.14,0, , , , 
2019-09-24 01:26:07,48.06,0, , , , 
2019-09-24 02:26:07,47.28,0, , , , 
2019-09-24 03:26:07,47.59,0, , , , 
2019-09-24 04:26:07,53.54,0, , , , 
2019-09-24 05:26:07,49.37,0, , , , 
2019-09-24 06:26:07,47.44,0, , , , 
2019-09-24 07:26:07,50.30,39, , , , 
2019-09-24 08:26:07,60.80,200, , , , 
2019-09-24 09:26:07,66.90,139, , , , 
2019-09-24 10:26:07,75.47,197, , , , 
2019-09-24 11:26:07,77.17,99, , , , 
