Serial Number:20467369 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-09-21 08:52:09,62.57,75, , , , 
2019-09-21 09:52:09,64.74,79, , , , 
2019-09-21 10:52:09,66.98,81, , , , 
2019-09-21 11:52:09,70.91,99, , , , 
2019-09-21 12:52:09,72.38,101, , , , 
2019-09-21 13:52:09,71.15,119, , , , 
2019-09-21 14:52:09,70.68,103, , , , 
2019-09-21 15:52:09,68.83,68, , , , 
2019-09-21 16:52:09,67.21,44, , , , 
2019-09-21 17:52:09,65.89,28, , , , 
2019-09-21 18:52:09,63.89,1, , , , 
2019-09-21 19:52:09,62.34,0, , , , 
2019-09-21 20:52:09,61.11,0, , , , 
2019-09-21 21:52:09,55.55,0, , , , 
2019-09-21 22:52:09,53.54,0, , , , 
2019-09-21 23:52:09,50.45,0, , , , 
2019-09-22 00:52:09,46.05,0, , , , 
2019-09-22 01:52:09,44.27,0, , , , 
2019-09-22 02:52:09,43.50,0, , , , 
2019-09-22 03:52:09,42.88,0, , , , 
2019-09-22 04:52:09,42.27,0, , , , 
2019-09-22 05:52:09,40.18,0, , , , 
2019-09-22 06:52:09,37.94,4, , , , 
2019-09-22 07:52:09,42.42,48, , , , 
2019-09-22 08:52:09,51.61,70, , , , 
2019-09-22 09:52:09,56.24,75, , , , 
2019-09-22 10:52:09,60.10,74, , , , 
2019-09-22 11:52:09,64.50,92, , , , 
2019-09-22 12:52:09,67.21,87, , , , 
2019-09-22 13:52:09,67.83,63, , , , 
2019-09-22 14:52:09,69.14,70, , , , 
2019-09-22 15:52:09,71.22,94, , , , 
2019-09-22 16:52:09,71.61,100, , , , 
2019-09-22 17:52:09,69.76,83, , , , 
2019-09-22 18:52:09,61.34,5, , , , 
2019-09-22 19:52:09,56.17,0, , , , 
2019-09-22 20:52:09,49.45,0, , , , 
2019-09-22 21:52:09,47.98,0, , , , 
2019-09-22 22:52:09,46.67,0, , , , 
2019-09-22 23:52:09,47.28,0, , , , 
2019-09-23 00:52:09,47.21,0, , , , 
2019-09-23 01:52:09,44.66,0, , , , 
2019-09-23 02:52:09,42.42,0, , , , 
2019-09-23 03:52:09,41.65,0, , , , 
2019-09-23 04:52:09,42.03,0, , , , 
2019-09-23 05:52:09,41.34,0, , , , 
2019-09-23 06:52:09,39.18,3, , , , 
2019-09-23 07:52:09,45.82,52, , , , 
2019-09-23 08:52:09,57.25,95, , , , 
2019-09-23 09:52:09,59.49,126, , , , 
2019-09-23 10:52:09,65.43,90, , , , 
2019-09-23 11:52:09,66.67,94, , , , 
2019-09-23 12:52:09,70.84,99, , , , 
2019-09-23 13:52:09,71.53,132, , , , 
2019-09-23 14:52:09,73.00,118, , , , 
2019-09-23 15:52:09,71.84,103, , , , 
2019-09-23 16:52:09,69.83,64, , , , 
2019-09-23 17:52:09,67.52,44, , , , 
2019-09-23 18:52:09,62.27,3, , , , 
2019-09-23 19:52:09,59.10,0, , , , 
2019-09-23 20:52:09,57.09,0, , , , 
2019-09-23 21:52:09,53.69,0, , , , 
2019-09-23 22:52:09,52.84,0, , , , 
2019-09-23 23:52:09,48.37,0, , , , 
2019-09-24 00:52:09,49.22,0, , , , 
2019-09-24 01:52:09,46.20,0, , , , 
2019-09-24 02:52:09,46.82,0, , , , 
2019-09-24 03:52:09,60.88,0, , , , 
2019-09-24 04:52:09,52.30,0, , , , 
2019-09-24 05:52:09,50.45,0, , , , 
2019-09-24 06:52:09,47.44,4, , , , 
2019-09-24 07:52:09,59.87,97, , , , 
2019-09-24 08:52:09,64.58,74, , , , 
2019-09-24 09:52:09,70.06,249, , , , 
2019-09-24 10:52:09,72.15,78, , , , 
2019-09-24 11:52:09,74.16,93, , , , 
2019-09-24 12:52:09,76.63,90, , , , 
2019-09-24 13:52:09,77.71,65, , , , 
2019-09-24 14:52:09,79.25,75, , , , 
2019-09-24 15:52:09,80.95,100, , , , 
2019-09-24 16:52:09,80.88,98, , , , 
2019-09-24 17:52:09,77.48,83, , , , 
2019-09-24 18:52:09,68.06,5, , , , 
2019-09-24 19:52:09,69.14,0, , , , 
2019-09-24 20:52:09,64.04,0, , , , 
2019-09-24 21:52:09,59.95,0, , , , 
2019-09-24 22:52:09,56.55,0, , , , 
2019-09-24 23:52:09,53.93,0, , , , 
2019-09-25 00:52:09,50.99,0, , , , 
2019-09-25 01:52:09,49.76,0, , , , 
2019-09-25 02:52:09,46.05,0, , , , 
2019-09-25 03:52:09,46.13,0, , , , 
2019-09-25 04:52:09,46.44,0, , , , 
2019-09-25 05:52:09,50.99,0, , , , 
2019-09-25 06:52:09,54.54,3, , , , 
2019-09-25 07:52:09,58.48,232, , , , 
2019-09-25 08:52:09,61.80,65, , , , 
2019-09-25 09:52:09,63.96,71, , , , 
2019-09-25 10:52:09,65.43,70, , , , 
2019-09-25 11:52:09,67.36,93, , , , 
2019-09-25 12:52:09,69.83,85, , , , 
2019-09-25 13:52:09,73.85,73, , , , 
2019-09-25 14:52:09,76.40,84, , , , 
2019-09-25 15:52:09,76.32,112, , , , 
2019-09-25 16:52:09,72.46,62, , , , 
2019-09-25 17:52:09,74.47,51, , , , 
2019-09-25 18:52:09,65.28,3, , , , 
2019-09-25 19:52:09,58.79,0, , , , 
2019-09-25 20:52:09,55.39,0, , , , 
2019-09-25 21:52:09,54.16,0, , , , 
2019-09-25 22:52:09,51.30,0, , , , 
2019-09-25 23:52:09,56.40,0, , , , 
2019-09-26 00:52:09,54.54,0, , , , 
2019-09-26 01:52:09,51.76,0, , , , 
2019-09-26 02:52:09,49.06,0, , , , 
2019-09-26 03:52:09,43.66,0, , , , 
2019-09-26 04:52:09,41.57,0, , , , 
2019-09-26 05:52:09,41.72,0, , , , 
2019-09-26 06:52:09,40.03,3, , , , 
2019-09-26 07:52:09,44.81,454, , , , 
2019-09-26 08:52:09,50.76,68, , , , 
2019-09-26 09:52:09,55.16,75, , , , 
2019-09-26 10:52:09,58.71,73, , , , 
2019-09-26 11:52:09,62.81,89, , , , 
2019-09-26 12:52:09,67.52,101, , , , 
2019-09-26 13:52:09,70.37,91, , , , 
2019-09-26 14:52:09,74.08,101, , , , 
2019-09-26 15:52:09,77.32,104, , , , 
2019-09-26 16:52:09,84.35,131, , , , 
2019-09-26 17:52:09,78.87,26, , , , 
2019-09-26 18:52:09,75.62,3, , , , 
2019-09-26 19:52:09,76.09,0, , , , 
2019-09-26 20:52:09,75.24,0, , , , 
2019-09-26 21:52:09,74.62,0, , , , 
2019-09-26 22:52:09,72.30,0, , , , 
2019-09-26 23:52:09,65.59,0, , , , 
2019-09-27 00:52:09,59.10,0, , , , 
2019-09-27 01:52:09,55.86,0, , , , 
2019-09-27 02:52:09,58.56,0, , , , 
2019-09-27 03:52:09,57.09,0, , , , 
2019-09-27 04:52:09,52.77,0, , , , 
2019-09-27 05:52:09,47.67,0, , , , 
2019-09-27 06:52:09,45.82,3, , , , 
2019-09-27 07:52:09,52.61,328, , , , 
2019-09-27 08:52:09,58.10,93, , , , 
2019-09-27 09:52:09,58.71,96, , , , 
2019-09-27 10:52:09,63.04,56, , , , 
2019-09-27 11:52:09,64.12,138, , , , 
2019-09-27 12:52:09,64.81,73, , , , 
2019-09-27 13:52:09,68.75,82, , , , 
2019-09-27 14:52:09,68.91,84, , , , 
2019-09-27 15:52:09,69.76,136, , , , 
2019-09-27 16:52:09,64.27,51, , , , 
2019-09-27 17:52:09,61.96,8, , , , 
2019-09-27 18:52:09,57.63,0, , , , 
2019-09-27 19:52:09,55.08,0, , , , 
2019-09-27 20:52:09,53.31,0, , , , 
2019-09-27 21:52:09,53.46,0, , , , 
2019-09-27 22:52:09,52.30,0, , , , 
2019-09-27 23:52:09,52.00,0, , , , 
2019-09-28 00:52:09,51.76,0, , , , 
2019-09-28 01:52:09,51.15,0, , , , 
2019-09-28 02:52:09,49.99,0, , , , 
2019-09-28 03:52:09,48.98,0, , , , 
2019-09-28 04:52:09,48.67,0, , , , 
2019-09-28 05:52:09,48.29,0, , , , 
2019-09-28 06:52:09,47.75,1, , , , 
2019-09-28 07:52:09,49.06,47, , , , 
2019-09-28 08:52:09,51.84,149, , , , 
2019-09-28 09:52:09,54.70,131, , , , 
2019-09-28 10:52:09,57.01,99, , , , 
2019-09-28 11:52:09,59.49,102, , , , 
2019-09-28 12:52:09,62.42,87, , , , 
2019-09-28 13:52:09,64.35,64, , , , 
2019-09-28 14:52:09,65.97,74, , , , 
2019-09-28 15:52:09,67.44,92, , , , 
2019-09-28 16:52:09,68.98,92, , , , 
2019-09-28 17:52:09,68.21,63, , , , 
2019-09-28 18:52:09,60.10,2, , , , 
2019-09-28 19:52:09,56.01,0, , , , 
2019-09-28 20:52:09,53.93,0, , , , 
2019-09-28 21:52:09,52.30,0, , , , 
2019-09-28 22:52:09,49.60,0, , , , 
2019-09-28 23:52:09,48.37,0, , , , 
2019-09-29 00:52:09,46.44,0, , , , 
2019-09-29 01:52:09,45.20,0, , , , 
2019-09-29 02:52:09,44.04,0, , , , 
2019-09-29 03:52:09,42.81,0, , , , 
2019-09-29 04:52:09,46.51,0, , , , 
2019-09-29 05:52:09,48.67,0, , , , 
2019-09-29 06:52:09,49.22,1, , , , 
2019-09-29 07:52:09,49.45,21, , , , 
2019-09-29 08:52:09,51.84,83, , , , 
2019-09-29 09:52:09,58.02,72, , , , 
2019-09-29 10:52:09,61.72,72, , , , 
2019-09-29 11:52:09,66.13,89, , , , 
2019-09-29 12:52:09,70.61,79, , , , 
2019-09-29 13:52:09,73.46,60, , , , 
2019-09-29 14:52:09,78.02,30, , , , 
2019-09-29 15:52:09,82.42,41, , , , 
2019-09-29 16:52:09,84.35,108, , , , 
2019-09-29 17:52:09,82.11,75, , , , 
2019-09-29 18:52:09,74.54,1, , , , 
2019-09-29 19:52:09,70.68,0, , , , 
2019-09-29 20:52:09,62.65,0, , , , 
2019-09-29 21:52:09,68.75,0, , , , 
2019-09-29 22:52:09,65.28,0, , , , 
2019-09-29 23:52:09,60.80,0, , , , 
2019-09-30 00:52:09,61.42,0, , , , 
2019-09-30 01:52:09,57.63,0, , , , 
2019-09-30 02:52:09,57.09,0, , , , 
2019-09-30 03:52:09,51.30,0, , , , 
2019-09-30 04:52:09,49.91,0, , , , 
2019-09-30 05:52:09,48.83,0, , , , 
2019-09-30 06:52:09,48.21,2, , , , 
2019-09-30 07:52:09,55.78,"1,066", , , , 
2019-09-30 08:52:09,58.64,67, , , , 
2019-09-30 09:52:09,60.64,75, , , , 
2019-09-30 10:52:09,61.96,70, , , , 
2019-09-30 11:52:09,63.42,92, , , , 
2019-09-30 12:52:09,65.82,95, , , , 
2019-09-30 13:52:09,66.59,68, , , , 
