Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-09-27 01:49:20,50.37,0, , , 
2019-09-27 02:49:20,52.61,0, , , 
2019-09-27 03:49:20,55.78,0, , , 
2019-09-27 04:49:20,49.91,0, , , 
2019-09-27 05:49:20,45.05,0, , , 
2019-09-27 06:49:20,41.57,4, , , 
2019-09-27 07:49:20,49.37,170, , , 
2019-09-27 08:49:20,61.18,257, , , 
2019-09-27 09:49:20,61.03,351, , , 
2019-09-27 10:49:20,68.67,305, , , 
2019-09-27 11:49:20,63.96,144, , , 
2019-09-27 12:49:20,67.59,151, , , 
2019-09-27 13:49:20,68.83,131, , , 
2019-09-27 14:49:20,71.45,154, , , 
2019-09-27 15:49:20,70.68,176, , , 
2019-09-27 16:49:20,65.97,103, , , 
2019-09-27 17:49:20,62.96,23, , , 
2019-09-27 18:49:20,55.93,0, , , 
2019-09-27 19:49:20,53.15,0, , , 
2019-09-27 20:49:20,51.61,0, , , 
2019-09-27 21:49:20,51.61,0, , , 
2019-09-27 22:49:20,51.15,0, , , 
2019-09-27 23:49:20,51.30,0, , , 
2019-09-28 00:49:20,49.45,0, , , 
2019-09-28 01:49:20,49.91,0, , , 
2019-09-28 02:49:20,48.75,0, , , 
2019-09-28 03:49:20,47.83,0, , , 
2019-09-28 04:49:20,47.52,0, , , 
2019-09-28 05:49:20,46.90,0, , , 
2019-09-28 06:49:20,46.67,1, , , 
2019-09-28 07:49:20,47.75,79, , , 
2019-09-28 08:49:20,56.47,410, , , 
2019-09-28 09:49:20,58.56,316, , , 
2019-09-28 10:49:20,61.49,213, , , 
2019-09-28 11:49:20,59.72,107, , , 
2019-09-28 12:49:20,61.96,95, , , 
2019-09-28 13:49:20,64.27,89, , , 
2019-09-28 14:49:20,67.67,106, , , 
2019-09-28 15:49:20,69.91,140, , , 
2019-09-28 16:49:20,72.23,192, , , 
2019-09-28 17:49:20,67.44,65, , , 
2019-09-28 18:49:20,60.03,4, , , 
2019-09-28 19:49:20,54.00,0, , , 
2019-09-28 20:49:20,51.07,0, , , 
2019-09-28 21:49:20,49.45,0, , , 
2019-09-28 22:49:20,48.06,0, , , 
2019-09-28 23:49:20,46.13,0, , , 
