Serial Number:20390429 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-09-21 08:48:11,65.12,203, , , , 
2019-09-21 09:48:11,66.74,188, , , , 
2019-09-21 10:48:11,68.83,163, , , , 
2019-09-21 11:48:11,71.22,167, , , , 
2019-09-21 12:48:11,72.92,215, , , , 
2019-09-21 13:48:11,73.31,305, , , , 
2019-09-21 14:48:11,71.92,262, , , , 
2019-09-21 15:48:11,69.68,148, , , , 
2019-09-21 16:48:11,67.75,94, , , , 
2019-09-21 17:48:11,66.20,66, , , , 
2019-09-21 18:48:11,63.42,4, , , , 
2019-09-21 19:48:11,61.65,0, , , , 
2019-09-21 20:48:11,60.95,0, , , , 
2019-09-21 21:48:11,54.78,0, , , , 
2019-09-21 22:48:11,51.92,0, , , , 
2019-09-21 23:48:11,47.90,0, , , , 
2019-09-22 00:48:11,44.58,0, , , , 
2019-09-22 01:48:11,42.57,0, , , , 
2019-09-22 02:48:11,41.49,0, , , , 
2019-09-22 03:48:11,41.11,0, , , , 
2019-09-22 04:48:11,40.95,0, , , , 
2019-09-22 05:48:11,38.64,0, , , , 
2019-09-22 06:48:11,37.01,5, , , , 
2019-09-22 07:48:11,42.96,135, , , , 
2019-09-22 08:48:11,53.69,207, , , , 
2019-09-22 09:48:11,57.86,193, , , , 
2019-09-22 10:48:11,61.49,160, , , , 
2019-09-22 11:48:11,65.12,161, , , , 
2019-09-22 12:48:11,67.67,184, , , , 
2019-09-22 13:48:11,72.92,244, , , , 
2019-09-22 14:48:11,70.22,156, , , , 
2019-09-22 15:48:11,69.06,122, , , , 
2019-09-22 16:48:11,70.76,350, , , , 
2019-09-22 17:48:11,67.90,97, , , , 
2019-09-22 18:48:11,60.10,13, , , , 
2019-09-22 19:48:11,55.55,0, , , , 
2019-09-22 20:48:11,47.90,0, , , , 
2019-09-22 21:48:11,45.82,0, , , , 
2019-09-22 22:48:11,45.51,0, , , , 
2019-09-22 23:48:11,46.20,0, , , , 
2019-09-23 00:48:11,46.51,0, , , , 
2019-09-23 01:48:11,43.96,0, , , , 
2019-09-23 02:48:11,41.88,0, , , , 
2019-09-23 03:48:11,40.64,0, , , , 
2019-09-23 04:48:11,40.64,0, , , , 
2019-09-23 05:48:11,39.87,0, , , , 
2019-09-23 06:48:11,38.17,4, , , , 
2019-09-23 07:48:11,45.74,138, , , , 
2019-09-23 08:48:11,59.33,215, , , , 
2019-09-23 09:48:11,61.11,246, , , , 
2019-09-23 10:48:11,67.13,205, , , , 
2019-09-23 11:48:11,67.52,157, , , , 
2019-09-23 12:48:11,71.92,204, , , , 
2019-09-23 13:48:11,74.62,279, , , , 
2019-09-23 14:48:11,74.39,300, , , , 
2019-09-23 15:48:11,73.39,240, , , , 
2019-09-23 16:48:11,70.61,151, , , , 
2019-09-23 17:48:11,67.52,95, , , , 
2019-09-23 18:48:11,60.80,8, , , , 
2019-09-23 19:48:11,58.40,0, , , , 
2019-09-23 20:48:11,55.32,0, , , , 
