Serial Number:20467371 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-09-26 17:51:34,80.95,133, , , , 
2019-09-26 18:51:34,75.62,14, , , , 
2019-09-26 19:51:34,75.62,0, , , , 
2019-09-26 20:51:34,75.24,0, , , , 
2019-09-26 21:51:34,72.77,0, , , , 
2019-09-26 22:51:34,70.45,0, , , , 
2019-09-26 23:51:34,61.11,0, , , , 
2019-09-27 00:51:34,53.39,0, , , , 
2019-09-27 01:51:34,49.45,0, , , , 
2019-09-27 02:51:34,53.46,0, , , , 
2019-09-27 03:51:34,54.39,0, , , , 
2019-09-27 04:51:34,48.67,0, , , , 
2019-09-27 05:51:34,43.73,0, , , , 
2019-09-27 06:51:34,40.41,16, , , , 
2019-09-27 07:51:34,60.18,"1,009", , , , 
2019-09-27 08:51:34,67.59,"1,766", , , , 
2019-09-27 09:51:34,70.37,"4,559", , , , 
2019-09-27 10:51:34,67.83,556, , , , 
2019-09-27 11:51:34,64.27,474, , , , 
2019-09-27 12:51:34,67.90,425, , , , 
2019-09-27 13:51:34,71.30,406, , , , 
2019-09-27 14:51:34,73.46,614, , , , 
2019-09-27 15:51:34,75.01,"2,273", , , , 
2019-09-27 16:51:34,66.90,363, , , , 
2019-09-27 17:51:34,62.65,59, , , , 
2019-09-27 18:51:34,54.00,1, , , , 
2019-09-27 19:51:34,52.30,0, , , , 
2019-09-27 20:51:34,51.22,0, , , , 
2019-09-27 21:51:34,51.53,0, , , , 
2019-09-27 22:51:34,50.76,0, , , , 
2019-09-27 23:51:34,51.07,0, , , , 
2019-09-28 00:51:34,49.22,0, , , , 
2019-09-28 01:51:34,49.83,0, , , , 
2019-09-28 02:51:34,48.60,0, , , , 
2019-09-28 03:51:34,47.67,0, , , , 
2019-09-28 04:51:34,47.21,0, , , , 
2019-09-28 05:51:34,46.90,0, , , , 
2019-09-28 06:51:34,46.59,4, , , , 
2019-09-28 07:51:34,50.22,410, , , , 
2019-09-28 08:51:34,69.29,"1,253", , , , 
2019-09-28 09:51:34,85.82,"5,510", , , , 
2019-09-28 10:51:34,61.65,617, , , , 
2019-09-28 11:51:34,60.72,428, , , , 
2019-09-28 12:51:34,63.11,352, , , , 
2019-09-28 13:51:34,66.44,331, , , , 
2019-09-28 14:51:34,69.68,810, , , , 
2019-09-28 15:51:34,86.36,"1,934", , , , 
2019-09-28 16:51:34,86.20,953, , , , 
2019-09-28 17:51:34,73.69,188, , , , 
2019-09-28 18:51:34,59.41,9, , , , 
2019-09-28 19:51:34,52.77,0, , , , 
2019-09-28 20:51:34,50.22,0, , , , 
