Serial Number:20365149 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","Button Up","EOF"
2019-09-21 09:38:43,78.56,280, , , , 
2019-09-21 10:38:43,69.14,145, , , , 
2019-09-21 11:38:43,72.15,103, , , , 
2019-09-21 12:38:43,73.69,99, , , , 
2019-09-21 13:38:43,73.00,102, , , , 
2019-09-21 14:38:43,69.29,87, , , , 
2019-09-21 15:38:43,69.29,58, , , , 
2019-09-21 16:38:43,66.82,39, , , , 
2019-09-21 17:38:43,66.74,26, , , , 
2019-09-21 18:38:43,63.73,2, , , , 
2019-09-21 19:38:43,61.72,0, , , , 
2019-09-21 20:38:43,62.88,0, , , , 
2019-09-21 21:38:43,55.70,0, , , , 
2019-09-21 22:38:43,53.00,0, , , , 
2019-09-21 23:38:43,49.99,0, , , , 
2019-09-22 00:38:43,46.67,0, , , , 
2019-09-22 01:38:43,44.50,0, , , , 
2019-09-22 02:38:43,43.04,0, , , , 
2019-09-22 03:38:43,42.27,0, , , , 
2019-09-22 04:38:43,42.42,0, , , , 
2019-09-22 05:38:43,41.03,0, , , , 
2019-09-22 06:38:43,38.56,1, , , , 
2019-09-22 07:38:43,39.95,39, , , , 
2019-09-22 08:38:43,53.77,119, , , , 
2019-09-22 09:38:43,57.09,121, , , , 
2019-09-22 10:38:43,60.49,111, , , , 
2019-09-22 11:38:43,65.66,101, , , , 
2019-09-22 12:38:43,68.37,88, , , , 
2019-09-22 13:38:43,70.14,100, , , , 
2019-09-22 14:38:43,71.45,109, , , , 
2019-09-22 15:38:43,72.46,103, , , , 
2019-09-22 16:38:43,74.16,99, , , , 
2019-09-22 17:38:43,71.53,87, , , , 
2019-09-22 18:38:43,62.73,9, , , , 
2019-09-22 19:38:43,56.78,0, , , , 
2019-09-22 20:38:43,52.00,0, , , , 
2019-09-22 21:38:43,48.75,0, , , , 
2019-09-22 22:38:43,47.36,0, , , , 
2019-09-22 23:38:43,46.44,0, , , , 
2019-09-23 00:38:43,46.13,0, , , , 
2019-09-23 01:38:43,45.66,0, , , , 
2019-09-23 02:38:43,43.19,0, , , , 
2019-09-23 03:38:43,42.19,0, , , , 
2019-09-23 04:38:43,41.57,0, , , , 
2019-09-23 05:38:43,41.49,0, , , , 
2019-09-23 06:38:43,39.95,1, , , , 
2019-09-23 07:38:43,43.04,49, , , , 
2019-09-23 08:38:43,56.09,117, , , , 
2019-09-23 09:38:43,58.17,87, , , , 
2019-09-23 10:38:43,65.97,129, , , , 
2019-09-23 11:38:43,68.29,90, , , , 
2019-09-23 12:38:43,71.61,101, , , , 
2019-09-23 13:38:43,74.08,118, , , , 
2019-09-23 14:38:43,75.16,128, , , , 
2019-09-23 15:38:43,72.61,104, , , , 
2019-09-23 16:38:43,70.68,58, , , , 
2019-09-23 17:38:43,67.90,34, , , , 
2019-09-23 18:38:43,63.96,6, , , , 
2019-09-23 19:38:43,60.10,0, , , , 
2019-09-23 20:38:43,56.40,0, , , , 
2019-09-23 21:38:43,54.23,0, , , , 
2019-09-23 22:38:43,51.92,0, , , , 
2019-09-23 23:38:43,49.52,0, , , , 
2019-09-24 00:38:43,49.22,0, , , , 
2019-09-24 01:38:43,46.98,0, , , , 
2019-09-24 02:38:43,47.44,0, , , , 
2019-09-24 03:38:43,48.44,0, , , , 
2019-09-24 04:38:43,52.54,0, , , , 
2019-09-24 05:38:43,48.75,0, , , , 
2019-09-24 06:38:43,47.21,1, , , , 
2019-09-24 07:38:43,53.31,41, , , , 
2019-09-24 08:38:43,63.89,117, , , , 
2019-09-24 09:38:43,72.84,124, , , , 
2019-09-24 10:38:43,77.79,112, , , , 
2019-09-24 11:38:43,78.71,100, , , , 
2019-09-24 12:38:43,80.03,89, , , , 
2019-09-24 13:38:43,81.42,101, , , , 
2019-09-24 14:38:43,82.73,113, , , , 
2019-09-24 15:38:43,83.12,114, , , , 
2019-09-24 16:38:43,84.97,95, , , , 
2019-09-24 17:38:43,78.02,66, , , , 
2019-09-24 18:38:43,69.60,10, , , , 
2019-09-24 19:38:43,63.58,0, , , , 
2019-09-24 20:38:43,61.88,0, , , , 
2019-09-24 21:38:43,58.33,0, , , , 
2019-09-24 22:38:43,55.70,0, , , , 
2019-09-24 23:38:43,52.61,0, , , , 
2019-09-25 00:38:43,50.91,0, , , , 
2019-09-25 01:38:43,48.67,0, , , , 
2019-09-25 02:38:43,47.28,0, , , , 
2019-09-25 03:38:43,45.82,0, , , , 
2019-09-25 04:38:43,44.74,0, , , , 
2019-09-25 05:38:43,46.90,0, , , , 
2019-09-25 06:38:43,51.61,1, , , , 
2019-09-25 07:38:43,54.00,37, , , , 
2019-09-25 08:38:43,64.20,112, , , , 
2019-09-25 09:38:43,66.05,118, , , , 
2019-09-25 10:38:43,66.28,123, , , , 
2019-09-25 11:38:43,67.67,95, , , , 
2019-09-25 12:38:43,69.52,86, , , , 
2019-09-25 13:38:43,73.77,102, , , , 
2019-09-25 14:38:43,78.10,127, , , , 
2019-09-25 15:38:43,77.32,112, , , , 
2019-09-25 16:38:43,75.62,83, , , , 
2019-09-25 17:38:43,73.31,82, , , , 
2019-09-25 18:38:43,66.05,8, , , , 
2019-09-25 19:38:43,60.34,0, , , , 
2019-09-25 20:38:43,56.32,0, , , , 
2019-09-25 21:38:43,54.08,0, , , , 
2019-09-25 22:38:43,52.00,0, , , , 
2019-09-25 23:38:43,54.16,0, , , , 
2019-09-26 00:38:43,54.39,0, , , , 
2019-09-26 01:38:43,51.61,0, , , , 
2019-09-26 02:38:43,48.21,0, , , , 
2019-09-26 03:38:43,44.97,0, , , , 
2019-09-26 04:38:43,42.81,0, , , , 
2019-09-26 05:38:43,41.34,0, , , , 
2019-09-26 06:38:43,39.87,1, , , , 
2019-09-26 07:38:43,41.18,38, , , , 
2019-09-26 08:38:43,50.84,112, , , , 
2019-09-26 09:38:43,55.32,119, , , , 
2019-09-26 10:38:43,59.64,113, , , , 
2019-09-26 11:38:43,63.96,89, , , , 
2019-09-26 12:38:43,66.90,90, , , , 
2019-09-26 13:38:43,70.37,106, , , , 
2019-09-26 14:38:43,74.93,136, , , , 
2019-09-26 15:38:43,78.10,122, , , , 
2019-09-26 16:38:43,83.12,230, , , , 
2019-09-26 17:38:43,81.73,32, , , , 
2019-09-26 18:38:43,78.95,7, , , , 
2019-09-26 19:38:43,74.62,0, , , , 
2019-09-26 20:38:43,77.25,0, , , , 
2019-09-26 21:38:43,76.09,0, , , , 
2019-09-26 22:38:43,74.31,0, , , , 
2019-09-26 23:38:43,66.20,0, , , , 
2019-09-27 00:38:43,59.10,0, , , , 
2019-09-27 01:38:43,55.08,0, , , , 
2019-09-27 02:38:43,54.93,0, , , , 
2019-09-27 03:38:43,59.41,0, , , , 
2019-09-27 04:38:43,51.69,0, , , , 
2019-09-27 05:38:43,48.13,0, , , , 
2019-09-27 06:38:43,45.66,0, , , , 
2019-09-27 07:38:43,47.52,58, , , , 
2019-09-27 08:38:43,56.01,66, , , , 
2019-09-27 09:38:43,59.25,67, , , , 
2019-09-27 10:38:43,62.81,129, , , , 
2019-09-27 11:38:43,64.04,58, , , , 
2019-09-27 12:38:43,66.36,68, , , , 
2019-09-27 13:38:43,67.21,52, , , , 
2019-09-27 14:38:43,71.84,103, , , , 
2019-09-27 15:38:43,67.67,78, , , , 
2019-09-27 16:38:43,65.12,47, , , , 
2019-09-27 17:38:43,62.42,11, , , , 
2019-09-27 18:38:43,58.64,1, , , , 
2019-09-27 19:38:43,54.23,0, , , , 
2019-09-27 20:38:43,52.00,0, , , , 
2019-09-27 21:38:43,51.84,0, , , , 
2019-09-27 22:38:43,51.69,0, , , , 
2019-09-27 23:38:43,51.38,0, , , , 
2019-09-28 00:38:43,50.84,0, , , , 
2019-09-28 01:38:43,50.45,0, , , , 
2019-09-28 02:38:43,49.06,0, , , , 
2019-09-28 03:38:43,48.75,0, , , , 
2019-09-28 04:38:43,48.29,0, , , , 
2019-09-28 05:38:43,47.44,0, , , , 
2019-09-28 06:38:43,47.44,0, , , , 
2019-09-28 07:38:43,47.67,22, , , , 
2019-09-28 08:38:43,49.22,49, , , , 
2019-09-28 09:38:43,52.54,130, , , , 
2019-09-28 10:38:43,55.86,127, , , , 
2019-09-28 11:38:43,59.02,99, , , , 
2019-09-28 12:38:43,61.34,89, , , , 
2019-09-28 13:38:43,64.58,99, , , , 
2019-09-28 14:38:43,67.13,108, , , , 
2019-09-28 15:38:43,68.52,182, , , , 
2019-09-28 16:38:43,69.14,102, , , , 
2019-09-28 17:38:43,67.83,65, , , , 
2019-09-28 18:38:43,61.34,5, , , , 
2019-09-28 19:38:43,57.32,0, , , , 
2019-09-28 20:38:43,54.85,0, , , , 
2019-09-28 21:38:43,52.84,0, , , , 
2019-09-28 22:38:43,50.45,0, , , , 
2019-09-28 23:38:43,49.06,0, , , , 
2019-09-29 00:38:43,47.36,0, , , , 
2019-09-29 01:38:43,45.59,0, , , , 
2019-09-29 02:38:43,45.12,0, , , , 
2019-09-29 03:38:43,43.66,0, , , , 
2019-09-29 04:38:43,45.59,0, , , , 
2019-09-29 05:38:43,47.98,0, , , , 
2019-09-29 06:38:43,48.91,0, , , , 
2019-09-29 07:38:43,49.06,15, , , , 
2019-09-29 08:38:43,50.84,98, , , , 
2019-09-29 09:38:43,58.02,116, , , , 
2019-09-29 10:38:43,62.65,106, , , , 
2019-09-29 11:38:43,68.13,95, , , , 
2019-09-29 12:38:43,70.61,86, , , , 
2019-09-29 13:38:43,75.01,99, , , , 
2019-09-29 14:38:43,79.02,113, , , , 
2019-09-29 15:38:43,85.97,135, , , , 
